Total Length,Execute Time
214,2.7883520126342773
215,2.7596800327301025
216,2.756608009338379
217,2.7688639163970947
218,2.8129279613494873
219,2.751487970352173
220,2.770944118499756
221,2.771967887878418
222,2.802687883377075
223,2.783008098602295
224,2.7943360805511475
225,2.8017919063568115
226,2.7516798973083496
227,2.796544075012207
228,2.7996160984039307
229,2.7648000717163086
230,2.7043840885162354
231,2.7799038887023926
232,2.7504639625549316
233,2.7964799404144287
234,2.776031970977783
235,2.7688961029052734
236,2.767967939376831
237,2.728192090988159
238,2.748415946960449
239,2.7699201107025146
240,2.76582407951355
241,2.7781119346618652
242,2.7934720516204834
243,2.777087926864624
244,2.752511978149414
245,2.762752056121826
246,2.838655948638916
247,2.7491838932037354
248,2.748415946960449
249,2.755743980407715
250,2.789151906967163
251,2.762752056121826
252,2.735071897506714
253,2.7617599964141846
254,2.7454400062561035
255,2.76582407951355
256,2.73907208442688
257,2.801664113998413
258,2.7627201080322266
259,2.8037118911743164
260,2.7985920906066895
261,2.7700159549713135
262,2.781183958053589
263,2.8200318813323975
264,2.8119359016418457
265,2.7687039375305176
266,2.76582407951355
267,2.772991895675659
268,2.781183958053589
269,2.7904961109161377
270,2.7902400493621826
271,2.771967887878418
272,2.795520067214966
273,2.7574400901794434
274,2.7586560249328613
275,2.7607040405273438
276,2.776063919067383
277,2.7535359859466553
278,2.841599941253662
279,2.8139519691467285
280,2.7841920852661133
281,2.801664113998413
282,2.7740159034729004
283,2.8447680473327637
284,2.7883520126342773
285,2.787264108657837
286,2.7545599937438965
287,2.789344072341919
288,2.801664113998413
289,2.7883520126342773
290,2.772223949432373
291,2.7740159034729004
292,2.7840960025787354
293,2.7616639137268066
294,2.774912118911743
295,2.761728048324585
296,2.754784107208252
297,2.781183958053589
298,2.7781119346618652
299,2.7843520641326904
300,2.802687883377075
301,2.8008639812469482
302,2.772991895675659
303,2.776063919067383
304,2.790623903274536
305,2.783168077468872
306,2.793503999710083
307,2.8538880348205566
308,2.80678391456604
309,2.7832961082458496
310,2.7781119346618652
311,2.817023992538452
312,2.805759906768799
313,2.7637760639190674
314,2.823103904724121
315,2.817023992538452
316,2.7904000282287598
317,2.800640106201172
318,2.8088319301605225
319,2.836639881134033
320,2.7801599502563477
321,2.759552001953125
322,2.784320116043091
323,2.8098559379577637
324,2.797408103942871
325,2.75763201713562
326,2.7769598960876465
327,2.8098559379577637
328,2.8243520259857178
329,2.7616639137268066
330,2.7996480464935303
331,2.8682239055633545
332,2.854912042617798
333,2.801664113998413
334,2.7799999713897705
335,2.796639919281006
336,2.811903953552246
337,2.822144031524658
338,2.7648000717163086
339,2.794464111328125
340,2.8293120861053467
341,2.801568031311035
342,2.825216054916382
343,2.7852799892425537
344,2.7955520153045654
345,2.8129279613494873
346,2.8004798889160156
347,2.780992031097412
348,2.7904000282287598
349,2.751487970352173
350,2.781248092651367
351,2.7956480979919434
352,2.8151040077209473
353,2.7791359424591064
354,2.770751953125
355,2.7770559787750244
356,2.820096015930176
357,2.8424320220947266
358,2.749216079711914
359,2.801664113998413
360,2.7732479572296143
361,2.779360055923462
362,2.791424036026001
363,2.7586560249328613
364,2.7801599502563477
365,2.78220796585083
366,2.811903953552246
367,2.803679943084717
368,2.7842559814453125
369,2.835455894470215
370,2.7994558811187744
371,2.8108160495758057
372,2.8047358989715576
373,2.7864320278167725
374,2.7677760124206543
375,2.802687883377075
376,2.831360101699829
377,2.8129279613494873
378,2.8138558864593506
379,2.7935678958892822
380,2.802687883377075
381,2.8088319301605225
382,2.771967887878418
383,2.8249599933624268
384,2.7801599502563477
385,2.813920021057129
386,2.8034560680389404
387,2.7988479137420654
388,2.815999984741211
389,2.7996160984039307
390,2.8139519691467285
391,2.7995200157165527
392,2.8190720081329346
393,2.8334081172943115
394,2.8518080711364746
395,2.8129279613494873
396,2.7527360916137695
397,2.825216054916382
398,2.877471923828125
399,2.822175979614258
400,2.8057920932769775
401,2.857088088989258
402,2.8322880268096924
403,2.8334081172943115
404,2.7923519611358643
