Total Length,Execute Time
101,117.68086624145508
102,117.43001556396484
103,117.57855987548828
104,117.60128021240234
105,115.89529800415039
106,115.42527770996094
107,115.41299438476562
108,115.55849838256836
109,115.52767944335938
110,115.9475212097168
111,115.57155227661133
112,115.61983871459961
113,116.1420783996582
114,115.80723190307617
115,115.81023788452148
116,115.77117156982422
117,115.91884994506836
118,115.9444465637207
119,116.25267028808594
120,115.93215942382812
121,116.02835083007812
122,116.12652969360352
123,116.11439895629883
124,116.13695907592773
125,116.70492935180664
126,116.2321891784668
127,116.22697830200195
128,116.48614120483398
129,148.7636489868164
130,152.58102416992188
131,152.65277099609375
132,152.72940826416016
133,152.89139556884766
134,152.60160064697266
135,152.77449798583984
136,152.62918853759766
137,152.73484802246094
138,152.77977752685547
139,152.85152435302734
140,152.7756805419922
141,152.75340270996094
142,152.76134490966797
143,153.20278930664062
144,152.74368286132812
145,152.96710205078125
146,152.74803161621094
147,153.06752014160156
148,152.87602996826172
149,152.81865692138672
150,152.8062744140625
151,152.80435180664062
152,152.8257293701172
153,152.86988830566406
154,152.82678985595703
155,152.87770080566406
156,152.92412567138672
157,153.25090789794922
158,153.00096130371094
159,153.08582305908203
160,152.90896606445312
161,153.7771453857422
162,153.8344955444336
163,153.80393981933594
164,153.60511779785156
165,154.03196716308594
166,154.1357421875
167,153.7209930419922
168,153.69442749023438
169,154.15379333496094
170,153.7289581298828
171,153.7066879272461
172,153.76486206054688
173,153.77091217041016
174,154.00448608398438
175,153.79235076904297
176,153.7105941772461
177,153.81910705566406
178,153.8529281616211
179,153.8292465209961
180,153.8663101196289
181,154.32099151611328
182,153.9061737060547
183,153.92639923095703
184,153.86931610107422
185,154.66598510742188
186,154.80016326904297
187,154.81856536865234
188,154.9834213256836
189,154.81446075439453
190,154.77967834472656
191,154.81865692138672
192,155.08889770507812
193,154.54208374023438
194,154.8031997680664
195,154.56050872802734
196,154.57177734375
197,154.64569854736328
198,154.725341796875
199,154.55948638916016
200,154.93628692626953
201,154.57878875732422
202,154.57984161376953
203,154.6085433959961
204,154.63024139404297
205,154.6076202392578
206,154.56153869628906
207,154.61167907714844
208,154.6792984008789
209,154.51238250732422
210,154.65164947509766
211,154.80320739746094
212,154.52671813964844
213,154.7006378173828
214,155.05101013183594
215,154.82469940185547
216,155.07763671875
217,155.09811401367188
218,154.86873626708984
219,154.56991577148438
220,154.69261169433594
221,154.72844696044922
222,154.8890609741211
223,154.83878326416016
224,154.7519989013672
225,155.14828491210938
226,155.19561767578125
227,155.14112091064453
228,155.25785064697266
229,155.31417083740234
230,155.33241271972656
231,155.37049865722656
232,155.31119537353516
233,155.72470092773438
234,155.3961944580078
235,155.64698028564453
236,155.54656219482422
237,155.35183715820312
238,155.26809692382812
239,155.3428497314453
240,155.37036895751953
241,155.34054565429688
242,155.3971176147461
243,155.652099609375
244,155.32428741455078
245,155.89501190185547
246,155.4265594482422
247,155.44524383544922
248,155.82003021240234
249,155.64698028564453
250,155.4134979248047
251,155.9920654296875
252,155.8097915649414
253,155.53040313720703
254,155.61727905273438
255,155.65113067626953
256,155.87423706054688
257,234.89149475097656
258,234.91891479492188
259,235.06214904785156
260,235.28038024902344
261,234.85155487060547
262,235.25791931152344
263,234.97840118408203
264,234.98128509521484
265,234.9835205078125
266,235.31314849853516
267,234.93631744384766
268,235.1953887939453
269,235.0050506591797
270,235.09913635253906
271,235.01209259033203
272,234.99263763427734
273,235.14214324951172
274,235.1452178955078
275,235.072509765625
276,235.14930725097656
277,236.21222686767578
278,235.99827575683594
279,236.04019165039062
280,235.93164825439453
281,235.9930877685547
282,235.9531478881836
283,236.2817611694336
284,236.0062713623047
285,236.1517105102539
286,236.0445098876953
287,235.9889907836914
288,236.12928009033203
289,236.36258697509766
290,236.03711700439453
291,236.12722778320312
292,236.09037017822266
293,236.31763458251953
294,236.14447784423828
295,236.0780792236328
296,236.43033599853516
297,236.0750732421875
298,236.42198944091797
299,236.103515625
300,236.10559844970703
301,236.10163116455078
302,236.11085510253906
303,236.1078109741211
304,236.2867202758789
305,236.19161987304688
306,236.28409576416016
307,236.3873291015625
308,236.16409301757812
309,236.1671371459961
310,236.21734619140625
311,236.19891357421875
312,236.2019805908203
313,236.33920288085938
314,236.2049331665039
315,236.23065948486328
316,236.21836853027344
317,236.2060775756836
318,236.2328643798828
319,236.2552261352539
320,236.3711929321289
321,236.81126403808594
322,236.6583023071289
323,236.66678619384766
324,236.77753448486328
325,236.8215103149414
326,236.67356872558594
327,236.6493148803711
328,236.64732360839844
329,236.6789779663086
330,236.6597137451172
331,236.7119369506836
332,236.78156280517578
333,237.027099609375
334,236.7395782470703
335,236.74288177490234
336,236.73446655273438
337,236.78265380859375
338,236.77645111083984
339,236.93539428710938
